"","lambda","z","UE","SE","Sm","Sn","E"
"137",0.19,0.5,0,0.69555,0.235525,0.055925,0.013
"138",0.2,0.5,0,0.685625,0.245,0.0559,0.013475
"139",0.21,0.5,0,0.675125,0.254875,0.056125,0.013875
"140",0.22,0.5,0,0.6652,0.264075,0.05635,0.014375
"141",0.23,0.5,0,0.655275,0.273275,0.056625,0.014825
"142",0.24,0.5,0,0.645675,0.282275,0.056825,0.015225
"143",0.21,0,0,0.6771,0.2379,0.0629,0.0221
"144",0.25,0.5,0,0.635875,0.29155,0.056825,0.01575
"145",0.26,0.5,0,0.62625,0.30085,0.0568,0.0161
"146",0.27,0.5,0,0.6168,0.309875,0.05675,0.016575
"147",0.28,0.5,0,0.607425,0.3187,0.056875,0.017
"148",0.29,0.5,0,0.59825,0.3276,0.05675,0.0174
"149",0.3,0.5,0,0.588975,0.336575,0.056625,0.017825
"150",0.31,0.5,0,0.5799,0.345325,0.056475,0.0183
"151",0.32,0.5,0,0.570775,0.3543,0.056225,0.0187
"152",0.33,0.5,0,0.562,0.362975,0.0559,0.019125
"153",0.34,0.5,0,0.5534,0.371475,0.055475,0.01965
"154",0.22,0,0,0.66795,0.24705,0.06205,0.02295
"155",0.35,0.5,0,0.544675,0.380225,0.055075,0.020025
"156",0.36,0.5,0,0.535975,0.389025,0.0545,0.0205
"157",0.37,0.5,0,0.527425,0.397475,0.05415,0.02095
"158",0.38,0.5,0,0.5188,0.4061,0.0537,0.0214
"159",0.39,0.5,0,0.51035,0.414525,0.05325,0.021875
"160",0.4,0.5,0,0.501925,0.423025,0.052775,0.022275
"161",0.41,0.5,0,0.493575,0.4314,0.052325,0.0227
"162",0.42,0.5,0,0.485175,0.439875,0.051775,0.023175
"163",0.43,0.5,0,0.476775,0.448425,0.051225,0.023575
"164",0.44,0.5,0,0.46855,0.456725,0.0507,0.024025
"165",0.23,0,0,0.663375,0.251625,0.061625,0.023375
"166",0.45,0.5,0,0.4604,0.465075,0.05005,0.024475
"167",0.46,0.5,0,0.45205,0.473525,0.049475,0.02495
"168",0.47,0.5,0,0.443925,0.48185,0.048875,0.02535
"169",0.48,0.5,0,0.43585,0.49015,0.048175,0.025825
"170",0.49,0.5,0,0.427625,0.498625,0.0475,0.02625
"171",0.5,0.5,0,0.4196,0.506875,0.04685,0.026675
"172",0.24,0,0,0.654225,0.260775,0.060775,0.024225
"173",0.25,0,0,0.645075,0.269925,0.059925,0.025075
"174",0.26,0,0,0.6405,0.2745,0.0595,0.0255
"175",0.27,0,0,0.63135,0.28365,0.05865,0.02635
"176",0.28,0,0,0.6222,0.2928,0.0578,0.0272
"177",0.01,0,0,0.828075,0.086925,0.076925,0.008075
"178",0.29,0,0,0.617625,0.297375,0.057375,0.027625
"179",0.3,0,0,0.608475,0.306525,0.056525,0.028475
"180",0.31,0,0,0.6039,0.3111,0.0561,0.0289
"181",0.32,0,0,0.59475,0.32025,0.05525,0.02975
"182",0.33,0,0,0.5856,0.3294,0.0544,0.0306
"183",0.34,0,0,0.581025,0.333975,0.053975,0.031025
"184",0.35,0,0,0.571875,0.343125,0.053125,0.031875
"185",0.36,0,0,0.562725,0.352275,0.052275,0.032725
"186",0.37,0,0,0.55815,0.35685,0.05185,0.03315
"187",0.38,0,0,0.549,0.366,0.051,0.034
"188",0.02,0,0,0.8235,0.0915,0.0765,0.0085
"189",0.39,0,0,0.53985,0.37515,0.05015,0.03485
"190",0.4,0,0,0.535275,0.379725,0.049725,0.035275
"191",0.41,0,0,0.526125,0.388875,0.048875,0.036125
"192",0.42,0,0,0.516975,0.398025,0.048025,0.036975
"193",0.43,0,0,0.5124,0.4026,0.0476,0.0374
"194",0.44,0,0,0.50325,0.41175,0.04675,0.03825
"195",0.45,0,0,0.4941,0.4209,0.0459,0.0391
"196",0.46,0,0,0.489525,0.425475,0.045475,0.039525
"197",0.47,0,0,0.480375,0.434625,0.044625,0.040375
"198",0.48,0,0,0.471225,0.443775,0.043775,0.041225
"199",0.03,0,0,0.81435,0.10065,0.07565,0.00935
"200",0.49,0,0,0.46665,0.44835,0.04335,0.04165
"201",0.5,0,0,0.4575,0.4575,0.0425,0.0425
"202",0,0.05,0,0.856975,0.0682,0.0682,0.006625
"203",0.01,0.05,0,0.85085,0.07655,0.065425,0.007175
"204",0.02,0.05,0,0.84465,0.0845,0.063125,0.007725
"205",0.03,0.05,0,0.83725,0.092875,0.061475,0.0084
"206",0.04,0.05,0,0.83045,0.100925,0.0597,0.008925
"207",0.05,0.05,0,0.822775,0.10905,0.0586,0.009575
"208",0.06,0.05,0,0.81435,0.1175,0.058,0.01015
"209",0.07,0.05,0,0.806025,0.125525,0.057675,0.010775
"210",0.04,0,0,0.8052,0.1098,0.0748,0.0102
"211",0.08,0.05,0,0.7976,0.133775,0.057175,0.01145
"212",0.09,0.05,0,0.788825,0.142175,0.056975,0.012025
"213",0.1,0.05,0,0.780575,0.15005,0.056725,0.01265
"214",0.11,0.05,0,0.771375,0.1585,0.056875,0.01325
"215",0.12,0.05,0,0.762425,0.166725,0.057125,0.013725
"216",0.13,0.05,0,0.753325,0.17505,0.05735,0.014275
"217",0.14,0.05,0,0.744175,0.18345,0.0575,0.014875
"218",0.15,0.05,0,0.73535,0.191625,0.0576,0.015425
"219",0.16,0.05,0,0.726525,0.199775,0.057675,0.016025
"220",0.17,0.05,0,0.7176,0.20815,0.057675,0.016575
"221",0.05,0,0,0.800625,0.114375,0.074375,0.010625
"222",0.18,0.05,0,0.70885,0.2163,0.057675,0.017175
"223",0.19,0.05,0,0.700125,0.2246,0.0575,0.017775
"224",0.2,0.05,0,0.69125,0.23305,0.057375,0.018325
"225",0.21,0.05,0,0.68315,0.241,0.056925,0.018925
"226",0.22,0.05,0,0.674375,0.24925,0.0568,0.019575
"227",0.23,0.05,0,0.66535,0.25775,0.056775,0.020125
"228",0.24,0.05,0,0.657025,0.26585,0.056525,0.0206
"229",0.25,0.05,0,0.648325,0.2742,0.0563,0.021175
"230",0.26,0.05,0,0.639725,0.282575,0.056075,0.021625
"231",0.27,0.05,0,0.6313,0.29065,0.0559,0.02215
"232",0.06,0,0,0.791475,0.123525,0.073525,0.011475
"233",0.28,0.05,0,0.6227,0.299,0.05555,0.02275
"234",0.29,0.05,0,0.6142,0.307325,0.05525,0.023225
"235",0.3,0.05,0,0.605825,0.315525,0.05485,0.0238
"236",0.31,0.05,0,0.597325,0.323825,0.054525,0.024325
"237",0.32,0.05,0,0.58895,0.332025,0.054175,0.02485
"238",0.33,0.05,0,0.5806,0.340225,0.053675,0.0255
